"y";"c";"ncomp";"nperc";"area3";"sex";"anasc";"eta";"yearedu"
39696,611261;22800;2;2;3;1;1936;78;13
6774,6611261;4680;1;1;3;2;1938;76;5
17270,159048;10100;1;1;3;2;1932;82;0
12074,824549;9200;1;1;3;2;1933;81;5
10207,330563;9600;1;1;3;1;1928;86;5
45600,276542;48000;3;3;3;2;1955;59;8
27025,412219;21900;4;1;3;2;1983;31;18
24218,326408;17400;2;1;3;1;1949;65;8
8556,6528152;13100;2;1;3;2;1957;57;8
46626,540662;34500;3;2;3;2;1963;51;18
7307,330563;9300;6;1;3;2;1965;49;8
31854,979223;26400;1;1;3;2;1938;76;13
10813,561542;9000;1;1;3;2;1930;84;0
35256,69912;11800;2;2;2;1;1946;68;11
33040,543797;32200;2;2;1;1;1949;65;5
28057,154074;34220;2;1;1;1;1951;63;13
73910,075021;73600;1;1;2;2;1925;89;13
43200;19200;3;2;3;1;1950;64;8
40922,724745;21200;2;2;1;1;1963;51;8
24854,244544;15200;2;2;1;1;1959;55;8
17783,983378;12350;3;2;3;2;1963;51;8
38812,828485;24500;3;3;3;2;1961;53;8
46838,569949;27850;3;2;3;1;1950;64;8
17502,565697;16800;2;2;2;2;1958;56;8
46268,627968;16000;2;2;1;1;1948;66;5
18470,202666;15960;2;2;1;1;1938;76;5
65721,991689;27000;2;2;1;1;1954;60;11
37700,27107;20000;2;2;1;1;1953;61;11
66432,53383;35400;3;3;1;1;1952;62;11
66147,197142;40500;4;3;3;2;1961;53;13
52436,652815;58600;3;3;3;2;1937;77;11
19501,367816;14830;1;1;1;2;1953;61;8
37953,982942;32900;3;1;3;1;1951;63;8
48175,656971;26400;4;2;2;2;1954;60;8
51407,559746;24730;2;2;3;1;1941;73;18
21200;16100;3;1;3;1;1957;57;8
33113,516985;30400;3;1;2;1;1962;52;8
26043,71306;15000;1;1;1;2;1950;64;18
43007,927063;26400;3;3;1;2;1964;50;13
33366,681589;16500;2;1;3;1;1941;73;13
7700;7200;1;1;2;2;1950;64;5
28296,783112;10200;2;1;1;2;1956;58;13
39405,626646;26700;3;2;1;1;1965;49;8
36032,766154;24000;1;1;1;1;1940;74;13
6313,545708;9850;1;1;1;1;1969;45;13
31850,032896;21600;1;1;2;2;1938;76;11
66197,096199;38400;4;2;1;1;1957;57;18
38103,857282;31600;2;1;1;1;1939;75;13
48077,679013;28252,377752;4;3;2;1;1967;47;8
14364,133211;11300;2;1;3;1;1947;67;11
34709,958446;16730;2;2;3;1;1944;70;11
47809,628133;33000;4;2;3;2;1946;68;8
36498,644504;28200;2;2;3;1;1944;70;5
21901,832641;26214;2;1;3;1;1929;85;8
21644,301475;25940;1;1;1;2;1945;69;8
97466,165696;60600;2;2;1;2;1950;64;18
41081,348835;27840;2;2;1;1;1956;58;13
49861,25614;18760;2;2;1;1;1937;77;13
29245,802712;15200;1;1;1;2;1958;56;13
31364,982534;16800;1;1;1;2;1940;74;13
18653,415891;35900;2;2;1;1;1965;49;8
67698,60295;30980;3;3;3;1;1927;87;13
17800;12000;1;1;1;1;1992;22;8
39417,870433;28800;3;2;1;1;1962;52;8
16900;15600;2;2;2;1;1938;76;5
33929,903137;22200;2;2;2;2;1949;65;5
56099,837177;36000;2;2;2;1;1938;76;8
57844,85031;37200;3;2;3;1;1948;66;18
8844,9021275;18608;1;1;3;1;1929;85;11
34646,077713;22200;3;1;3;1;1959;55;8
10403,665282;10964;2;1;3;1;1945;69;8
24100;20800;2;2;3;2;1939;75;5
12800;12000;1;1;3;1;1928;86;0
64754,201199;40400;3;3;3;1;1947;67;18
14486,652815;9200;1;1;2;2;1933;81;5
37837,298753;20976;4;4;1;1;1952;62;8
21114,661126;20000;3;2;1;1;1932;82;5
25249,222729;9600;2;2;1;1;1950;64;11
37021,094684;19000;2;2;1;1;1940;74;8
40578,892002;47200;2;2;1;1;1941;73;5
12416,185596;11400;1;1;3;2;1960;54;5
14204,070124;9600;2;2;3;2;1956;58;5
21273,183821;19800;3;2;3;2;1965;49;13
61144,831235;46000;2;2;1;1;1958;56;13
16224,668616;6000;1;1;1;2;1942;72;5
34029,875337;23640;1;1;1;1;1956;58;13
22588,539431;16200;1;1;1;2;1932;82;5
28246,481579;15600;2;2;1;1;1950;64;11
49019,220249;16800;4;3;1;1;1946;68;11
41804,740186;33200;2;2;2;2;1953;61;13
30900;12600;2;2;2;2;1932;82;5
48081,73505;26000;2;2;2;1;1948;66;8
39108,201745;28300;2;2;2;1;1943;71;8
21913,623727;16860;2;2;2;2;1955;59;8
66408,044679;54600;2;2;2;1;1930;84;18
35406,652815;27600;3;2;2;1;1964;50;8
29610,907853;20400;2;2;1;2;1952;62;8
72608,284853;41280;2;2;1;2;1934;80;13
47249,77714;18050;3;3;1;2;1937;77;8
28769,798434;18100;2;2;2;2;1945;69;5
14426,927299;12400;1;1;3;2;1929;85;5
5011,1709219;7240;1;1;3;1;1969;45;18
28407,330563;27800;2;1;3;1;1960;54;18
65435,521454;46600;4;3;3;2;1958;56;16
30650;28150;3;2;3;2;1953;61;5
26000;24000;3;2;2;2;1932;82;5
25354,03181;19400;2;1;2;1;1950;64;8
20829,034064;15800;2;2;2;1;1935;79;5
45115,975067;46300;3;2;2;2;1963;51;13
42000;24000;2;2;2;2;1968;46;8
42459,330563;27600;2;2;2;1;1950;64;13
56534,70857;46000;2;2;2;1;1964;50;11
33827,489611;17400;2;2;2;2;1930;84;8
40698,557329;32000;3;3;2;2;1959;55;8
64825,656971;49000;6;4;2;2;1970;44;18
38909,958446;24200;2;1;2;1;1943;71;5
22612,453992;17600;4;1;3;1;1964;50;8
14400;6600;2;2;3;1;1946;68;5
43122,156386;34100;1;1;3;2;1950;64;18
27880,636194;33100;2;2;2;1;1961;53;13
39949,322252;25200;3;3;2;1;1948;66;5
57352,981063;43100;2;2;2;2;1959;55;13
21712,432726;10300;1;1;3;2;1953;61;13
30021,991689;16800;2;1;3;2;1954;60;5
21563,780743;20150;2;1;1;1;1956;58;13
34303,665282;24000;1;1;2;2;1944;70;13
14170,995845;18760;3;1;3;1;1957;57;8
23943,665282;18000;3;1;2;1;1952;62;11
46112,451726;30000;4;2;1;2;1970;44;13
23306,438713;22200;3;1;1;2;1973;41;13
33674,878412;19800;3;2;2;2;1963;51;13
40361,995593;33200;3;2;2;1;1965;49;8
53309,741704;46600;3;1;2;1;1960;54;13
28723;22900;2;2;3;2;1941;73;5
31688,178195;20350;1;1;1;1;1943;71;8
37014,661126;36000;4;2;3;1;1954;60;18
16652,828485;12270;1;1;2;1;1947;67;8
8900;5500;1;1;2;1;1933;81;0
30610,385097;40200;2;1;1;1;1947;67;13
10540;10560;1;1;1;2;1934;80;5
27684,610025;16900;2;2;1;1;1943;71;8
34900;21200;2;2;1;1;1948;66;13
70331,409498;43300;2;2;3;1;1948;66;13
68605,330989;42000;3;3;1;2;1962;52;13
27493,652815;19800;2;2;3;2;1946;68;11
18607,330563;15600;3;1;3;2;1964;50;13
18348;14400;2;2;3;2;1949;65;13
6600;7560;2;1;3;2;1946;68;5
8400;10200;1;1;3;2;1951;63;8
11601,349033;21500;6;1;3;2;1972;42;8
19105,12047;13600;1;1;3;1;1935;79;8
10218;7800;1;1;3;2;1940;74;8
19915,908525;18600;2;1;3;2;1954;60;5
24660;22600;3;2;3;2;1943;71;13
16516,493767;13300;2;1;3;2;1946;68;5
9563,6486598;14380;1;1;3;2;1947;67;8
27375,929159;20120;2;2;1;1;1933;81;5
23243,561542;20260;1;1;1;2;1931;83;5
18928,326408;15600;2;2;2;1;1946;68;5
49582,985906;23400;2;1;1;1;1935;79;18
9106,0174627;9280;1;1;1;2;1943;71;11
18003,665282;12200;2;1;3;1;1947;67;8
42217,94;37800;2;1;1;1;1945;69;13
16500,989626;15100;2;1;2;2;1955;59;5
19119,205847;20400;2;1;1;2;1947;67;11
16510,662435;16200;4;4;1;2;1940;74;5
38676,875943;23400;2;2;1;1;1956;58;13
23050;21600;2;1;1;1;1932;82;5
16907,330563;25900;3;1;1;2;1948;66;5
32805,480791;15600;2;2;1;1;1964;50;11
40134,508302;29100;2;2;1;2;1939;75;13
49316,585618;38800;2;2;1;2;1969;45;13
14870,743539;18630;2;1;1;1;1953;61;5
30809,958446;17400;2;1;1;1;1955;59;8
20374,876481;19200;1;1;1;2;1932;82;5
28612,231194;23400;3;2;1;1;1952;62;8
34018,326408;9300;3;3;1;2;1935;79;5
40818,844644;31000;2;2;1;1;1945;69;8
8706,2512968;11800;1;1;1;1;1958;56;13
46512,586328;33400;3;2;1;2;1962;52;13
23583,952637;14900;1;1;1;2;1933;81;5
25191,804509;24600;3;1;1;1;1941;73;5
